WKR_NR;Gebiet;gehört zu;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wählende;Wählende;Wählende;Wählende;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;CDU;CDU;CDU;CDU;SPD;SPD;SPD;SPD;AFD;AFD;AFD;AFD;FDP;FDP;FDP;FDP;DIELINKE;DIELINKE;DIELINKE;DIELINKE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;CSU;CSU;CSU;CSU
67;Börde – Jerichower Land;15;215532;220786;215532;220786;148520;150499;148520;150499;1774;4551;1557;2411;146746;145948;146963;148088;36652;55110;32720;47566;38520;29174;39043;24053;29843;;29604;27905;11817;11080;13589;11413;12785;29616;12426;24555;6184;3540;7267;4236;;;;
68;Harz;15;207942;215607;207942;215607;138572;143567;138572;143567;1728;2439;1522;2036;136844;141128;137050;141531;37884;51386;30508;47574;34812;24767;37330;22915;24947;22792;24790;23860;10064;6923;12532;9902;14413;27104;12700;25069;6320;4462;7495;4968;;;;
69;Magdeburg;15;229198;238060;229198;238060;156789;162894;156789;162894;1497;2338;1405;2117;155292;160556;155384;160777;34177;44021;28700;44616;39233;34877;41022;27513;23398;24509;23446;26051;12139;10796;14673;12713;15137;30299;16449;30056;14381;6417;16352;8564;;;;
70;Dessau – Wittenberg;15;169749;177005;169749;177005;115204;123466;115204;123466;1385;2067;1235;1722;113819;121399;113969;121744;39042;42781;26740;38751;22178;14806;29843;17360;22002;23520;21630;24327;7591;6051;10402;8940;9003;22086;9635;21102;7632;5607;6531;4299;;;;
71;Anhalt;15;214563;224401;214563;224401;139289;147946;139289;147946;2093;2754;1843;2407;137196;145192;137446;145539;32295;45843;29823;44620;28386;18687;33055;20289;33225;32281;31003;32349;10637;9213;12705;10848;20246;30757;14249;25887;4587;2854;5470;3455;;;;
72;Halle;15;209765;214668;209765;214668;148576;152467;148576;152467;1505;2192;1352;2173;147071;150275;147224;150294;30499;40690;26282;39833;42335;32053;34686;21196;22517;26018;21914;26727;11867;10131;15150;13533;19247;30530;17180;28892;12521;5475;19915;10457;;;;
73;Burgenland – Saalekreis;15;184352;191636;184352;191636;125866;131219;125866;131219;1573;2304;1287;2007;124293;128915;124579;129212;32649;43254;26535;38678;27165;16930;28460;17098;32328;30112;31000;31781;11764;8538;12785;10132;12419;21819;10630;21042;4207;3198;5002;3366;;;;
74;Mansfeld;15;198676;207103;198676;207103;133064;140223;133064;140223;1727;2566;1483;2291;131337;137657;131581;137932;32732;42725;28411;39751;30969;20864;32109;19835;32930;32864;31476;32982;11089;11091;12792;11236;13108;24863;11680;23909;3820;3647;4835;3250;;;;
15;Sachsen-Anhalt;99;1789775;1854891;1789775;1854891;1214761;1263474;1214761;1263474;14583;22949;12821;18494;1200178;1240525;1201940;1244980;299363;401454;252286;377411;293197;213058;305085;188980;242065;210127;235492;244401;96084;81211;114024;96555;127576;238047;115330;220858;64326;38938;78701;46243;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;Berlin-Mitte;11;207010;206706;207010;206706;140655;151412;140655;151412;2061;2341;1856;1969;138594;149071;138799;149443;19216;27654;16526;27861;30611;35036;28881;26788;7632;11782;7810;12289;8448;9017;11040;12972;19764;30492;19610;32118;42443;26781;42486;25708;;;;
76;Berlin-Pankow;11;233069;237071;233069;237071;135593;188499;135593;188499;1459;2186;1251;1847;134134;186313;134342;186652;23439;36429;22455;36994;21387;30509;20245;29185;19023;22487;19426;23315;4069;7890;4932;12321;19048;53618;19157;43774;35919;26376;34836;26651;;;;
77;Berlin-Reinickendorf;11;175195;182398;175195;182398;114070;137240;114070;137240;2361;2380;2118;2135;111709;134860;111952;135105;32972;49654;29580;41912;26901;31882;25740;27071;12583;17738;12731;18513;8333;9688;10331;15376;5194;10384;5067;11516;15523;10647;17477;12305;;;;
78;Berlin-Spandau – Charlottenburg Nord;11;179896;184608;179896;184608;122863;133009;122863;133009;3048;2435;2908;2262;119815;130574;119955;130747;28647;40372;26158;36712;39062;41965;32853;29733;12440;17551;12780;18481;9954;8292;11798;12927;6484;9861;6074;12780;14004;8031;17193;11063;;;;
79;Berlin-Steglitz-Zehlendorf;11;217506;221210;217506;221210;171803;180720;171803;180720;2261;2347;2223;1763;169542;178373;169580;178957;48530;63085;39905;53281;41371;43801;40677;34279;9277;14549;10036;15824;14929;16159;20813;25461;7196;13392;8076;16352;37751;22712;38460;25361;;;;
80;Berlin-Charlottenburg-Wilmersdorf;11;195586;198672;195586;198672;133235;158034;133235;158034;1419;1920;1436;1387;131816;156114;131799;156647;33023;47077;29035;40085;33723;43123;28894;30351;7062;11722;7950;12374;10222;14426;13934;23280;7417;14745;8638;18367;33119;21286;35201;24770;;;;
81;Berlin-Tempelhof-Schöneberg;11;231477;235250;231477;235250;172069;181159;172069;181159;2613;2493;2731;2078;169456;178666;169338;179081;37902;51708;31751;44721;45220;39380;41215;36179;10013;16188;10921;17108;12041;11362;15633;18569;10177;19356;12706;23625;42680;33763;42791;27956;;;;
82;Berlin-Neukölln;11;196593;202618;196593;202618;134004;143553;134004;143553;2926;2448;2480;2140;131078;141105;131524;141413;25173;34593;22400;31592;33880;37777;31498;27520;10047;15105;10089;15904;8240;7255;9325;10891;16943;23204;15616;25752;25790;15480;29474;18446;;;;
83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;11;218824;223427;218824;223427;151276;173289;151276;173289;1644;1940;1507;1545;149632;171349;149769;171744;12706;20955;11990;23887;24416;29028;26326;27391;6999;10558;7379;10863;6784;5263;7834;10147;27024;42600;27862;49016;56602;45055;55147;35077;;;;
84;Berlin-Treptow-Köpenick;11;206999;205106;206999;205106;156625;157111;156625;157111;2450;1919;2754;1923;154175;155192;153871;155188;21016;29384;20562;31372;23684;21379;35690;24109;17978;23245;19322;26278;8950;5831;12190;10067;54548;61881;24609;39000;15806;7755;24686;12168;;;;
85;Berlin-Marzahn-Hellersdorf;11;198002;200704;198002;200704;133719;138992;133719;138992;2658;2207;2870;2053;131061;136785;130849;136939;38914;30480;21887;28620;18901;17172;29991;19797;20980;28167;22665;29618;5859;4852;9372;7290;28572;46782;20755;35698;8064;4440;11207;5621;;;;
86;Berlin-Lichtenberg;11;200461;205300;200461;205300;143826;149116;143826;149116;2719;2044;2659;1990;141107;147072;141167;147126;17696;28905;16891;27284;27413;20720;32403;21850;17415;23119;17916;24603;8463;5018;9796;7745;36409;51249;25840;43172;19179;8609;21777;9821;;;;
11;Berlin;99;2460618;2503070;2460618;2503070;1709738;1892134;1709738;1892134;27619;26660;26793;23092;1682119;1865474;1682945;1869042;339234;460296;289140;424321;366569;391772;374413;334253;151449;212211;159025;225170;106292;105053;136998;167046;238776;377564;194010;351170;346880;230935;370735;234947;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;Aachen I;5;176306;179273;176306;179273;140020;140624;140020;140624;1107;1267;727;823;138913;139357;139293;139801;35562;47011;31772;38827;33087;45309;30588;34663;5314;7817;5427;8271;10906;10232;15032;19795;6161;12282;7453;14459;41942;13104;40421;17918;;;;
88;Aachen II;5;226420;228248;226420;228248;170670;173149;170670;173149;1883;1973;1583;1542;168787;171176;169087;171607;54808;62405;49838;52656;58189;63135;53408;60539;12632;15114;12409;14853;12055;11038;17892;19213;4496;8785;5259;10105;19976;7782;19918;8436;;;;
89;Heinsberg;5;192346;190051;192346;190051;145368;142330;145368;142330;1649;1726;1397;1440;143719;140604;143971;140890;57095;64121;46466;55605;37249;39301;38822;36421;10965;11652;11359;12313;10691;9334;16023;16111;3608;6424;4529;7909;15368;6964;16858;7281;;;;
90;Düren;5;199656;199675;199656;199675;153645;151595;153645;151595;1707;1757;1516;1461;151938;149838;152129;150134;55719;62711;46217;52412;46734;47543;44058;43816;12947;13404;13171;14432;11237;8788;17104;17155;3449;6611;4570;8809;14174;8235;16951;8198;;;;
91;Rhein-Erft-Kreis I;5;249035;248982;249035;248982;194862;191505;194862;191505;1909;2166;1461;1637;192953;189339;193401;189868;63635;74207;55068;63664;58858;58792;54714;50014;13537;17113;13417;18091;17542;17648;24227;27398;5889;8590;5682;11392;25409;10354;27566;12526;;;;
92;Euskirchen – Rhein-Erft-Kreis II;5;249198;246753;249198;246753;192814;187796;192814;187796;2031;2221;1540;1600;190783;185575;191274;186196;65981;79493;58081;66503;50892;48592;50949;43498;14999;17650;14894;18325;19805;18316;23314;27410;4993;10835;5730;11403;25005;10689;26161;12447;;;;
93;Köln I;5;190630;192574;190630;192574;140901;139718;140901;139718;1097;1522;821;1087;139804;138196;140080;138631;31636;43683;27695;36565;38985;42799;36933;33666;8789;11952;8363;12290;11490;10652;15040;18067;7213;11898;8267;15271;33405;13535;33501;15800;;;;
94;Köln II;5;242483;240985;242483;240985;204955;197979;204955;197979;972;1218;622;901;203983;196761;204333;197078;50918;68657;41834;56165;40103;52880;43193;38485;5587;9057;5891;9964;16950;17816;26470;33760;8771;15704;10399;21100;70658;28716;65240;30630;;;;
95;Köln III;5;204539;203647;204539;203647;155242;150629;155242;150629;1107;1531;840;1104;154135;149098;154402;149525;28674;41106;27485;36500;46149;48148;39901;36849;8015;11249;7876;11731;10708;10599;13845;16850;8435;14431;9903;19118;43600;19621;44407;20973;;;;
96;Bonn;5;230215;227583;230215;227583;185557;180439;185557;180439;1447;1498;1113;1231;184110;178941;184444;179208;44872;57330;41551;53334;46251;62377;41641;36119;7448;10882;7750;13136;23198;18724;21902;28113;6675;10193;10026;17133;46467;15056;50174;25197;;;;
97;Rhein-Sieg-Kreis I;5;238627;237415;238627;237415;188217;184295;188217;184295;1751;3732;1393;1538;186466;180563;186824;182757;60776;79987;51474;62334;53213;49988;49529;40922;13045;;13604;18237;16604;18768;23122;27267;6242;14684;6353;13038;26270;11762;29305;13757;;;;
98;Rhein-Sieg-Kreis II;5;216063;216020;216063;216020;176637;174513;176637;174513;1317;1615;1216;1350;175320;172898;175421;173163;70144;80441;51795;61425;41004;39246;41753;34583;10385;14592;10551;15226;13914;14491;23435;30142;4607;9543;5687;11116;26956;13643;31027;15192;;;;
99;Oberbergischer Kreis;5;206640;208418;206640;208418;160146;156593;160146;156593;1639;1962;1472;1559;158507;154631;158674;155034;53757;67603;44018;56567;42461;41305;42413;35078;15071;15648;15211;16413;15636;12123;19796;21353;4587;7999;5153;9887;19015;9489;19959;9995;;;;
100;Rheinisch-Bergischer Kreis;5;217193;217425;217193;217425;176933;174420;176933;174420;1349;2180;1037;1891;175584;172240;175896;172529;52714;68948;48224;61423;39827;42098;44429;36221;9518;12476;10051;13777;29576;27049;24373;28787;4845;8409;5222;11042;31626;11846;32285;15581;;;;
101;Leverkusen – Köln IV;5;209102;212212;209102;212212;154163;155139;154163;155139;1403;1619;1163;1428;152760;153520;153000;153711;31197;47272;33246;43175;69662;59373;44586;41671;10797;13408;10966;14970;11050;10114;15931;18719;5657;9430;7318;14284;17290;8722;29329;13472;;;;
102;Wuppertal I;5;202528;208129;202528;208129;146699;149950;146699;149950;1741;1944;1300;1383;144958;148006;145399;148567;31960;43814;30527;39341;54065;46657;42421;38696;11995;16339;12090;16431;13756;12910;15970;18437;6742;13120;8055;16100;18932;10987;25388;12754;;;;
103;Solingen – Remscheid – Wuppertal II;5;220204;222845;220204;222845;163495;164019;163495;164019;1526;2257;1277;1550;161969;161762;162218;162469;44778;61871;39413;51318;52852;49863;48196;40743;12335;15303;12506;16221;17406;12548;20256;22947;5099;10105;6076;12689;20967;9403;24296;11726;;;;
104;Mettmann I;5;203030;205244;203030;205244;159457;160315;159457;160315;1561;1765;1149;1150;157896;158550;158308;159165;47326;70762;43354;54126;39326;40819;42385;36596;10704;14106;10658;15053;14873;13202;21083;25757;4252;8647;4956;10216;36095;11014;25430;11796;;;;
105;Mettmann II;5;160175;163229;160175;163229;123769;125496;123769;125496;1172;1510;877;1056;122597;123986;122892;124440;38429;48689;33254;40601;37635;37468;34409;30492;8894;11143;9104;11926;11158;10795;16235;19691;3395;6825;3887;8458;17730;7567;18112;8599;;;;
106;Düsseldorf I;5;220827;220764;220827;220764;175110;172947;175110;172947;1162;1560;807;1037;173948;171387;174303;171910;54158;69273;44892;55052;38955;41903;38195;33493;7002;10912;7495;12029;24242;21944;27743;33940;5094;12611;6741;14675;36926;14408;39452;17148;;;;
107;Düsseldorf II;5;190102;193175;190102;193175;142287;143599;142287;143599;1153;1771;855;1053;141134;141828;141432;142546;34801;47950;31639;40606;41169;38727;35671;33218;8214;11530;8503;12968;14143;13049;17335;21277;5418;18499;6931;14111;30201;11778;31524;14379;;;;
108;Neuss I;5;213250;214779;213250;214779;162167;160050;162167;160050;1605;1758;1201;1275;160562;158292;160966;158775;57445;69658;48166;56983;51391;45314;43760;37438;10801;13675;11298;14887;12932;11471;20333;23585;4153;8535;4771;9895;18051;8131;21951;9583;;;;
109;Mönchengladbach;5;185185;190552;185185;190552;129646;132006;129646;132006;1707;1563;1241;1170;127939;130443;128405;130836;45550;57766;36555;46786;37548;31766;34877;30547;9915;11910;9641;12373;10957;10225;15459;17946;;8921;4927;9627;17302;7814;18166;8169;;;;
110;Krefeld I – Neuss II;5;200048;201450;200048;201450;155726;155434;155726;155434;1520;1761;1132;1244;154206;153673;154594;154190;51500;65228;45635;54907;39253;39142;39407;34051;9150;11196;9342;12104;18781;17673;22069;26859;4319;7815;4680;9805;24383;10140;24014;10871;;;;
111;Viersen;5;227166;227423;227166;227423;175085;173280;175085;173280;1740;1690;1333;1262;173345;171590;173752;172018;62123;82165;52896;65475;47806;42932;46375;38368;10312;12035;10357;12841;15140;14233;22281;27576;5558;8747;5203;10342;24394;11478;25673;11591;;;;
112;Kleve;5;225463;226096;225463;226096;171093;169057;171093;169057;1628;1674;1326;1399;169465;167383;169767;167658;63701;75375;54793;69700;48142;51197;47837;39316;9788;11019;9632;11621;14821;12692;19542;22687;4235;7096;4728;9366;23477;8230;23587;10098;;;;
113;Wesel I;5;206270;207178;206270;207178;160625;160344;160625;160344;1460;1663;1128;1246;159165;158681;159497;159098;47448;61849;42544;53623;54488;52085;53277;45627;10842;13615;10994;14325;14452;12644;17302;19709;4598;9461;5103;10637;19928;8763;20629;9743;;;;
114;Krefeld II – Wesel II;5;175852;179118;175852;179118;131664;133705;131664;133705;1378;1608;1048;1175;130286;132097;130616;132530;37033;48817;32316;40955;45852;42219;41476;36714;9077;11294;9189;12186;10954;10769;14899;18032;4100;7418;4703;10090;17398;8063;19539;9307;;;;
115;Duisburg I;5;163394;167998;163394;167998;118600;121638;118600;121638;1320;2870;1006;2022;117280;118768;117594;119616;24299;34053;23166;30746;47314;45455;41308;37925;11101;13648;9802;13549;8203;8289;10593;12491;5500;8146;5580;10369;16777;6648;17912;7844;;;;
116;Duisburg II;5;155265;160204;155265;160204;98339;103704;98339;103704;1530;3396;1173;1912;96809;100308;97166;101792;19404;26522;18168;22830;38162;34799;35842;34695;13361;16643;11834;15794;6901;7054;7913;8369;4889;8885;4508;8546;10518;4622;10287;4493;;;;
117;Oberhausen – Wesel III;5;199156;204816;199156;204816;145232;150312;145232;150312;1478;2191;1216;1451;143754;148121;144016;148861;32277;43077;30770;39085;55790;56987;53034;49165;13601;18197;13099;18560;10132;9357;13573;14890;4908;11331;5613;12373;17171;8349;17945;8228;;;;
118;Mülheim – Essen I;5;182895;187746;182895;187746;139658;142858;139658;142858;1503;1794;1069;1207;138155;141064;138589;141651;33090;44219;32698;39847;50168;49226;46084;41731;11704;16221;11135;16200;11884;12729;15188;18337;3663;9210;4494;10546;19547;8690;20232;9465;;;;
119;Essen II;5;156298;163326;156298;163326;105472;110369;105472;110369;1274;1615;1063;1154;104198;108754;104409;109215;23735;28912;21039;25606;39410;40601;35363;34727;12015;17153;11521;16339;6976;7207;9531;10583;4325;8555;4525;9524;12647;5846;13971;6746;;;;
120;Essen III;5;190335;192918;190335;192918;152860;153336;152860;153336;1013;1232;797;927;151847;152104;152063;152409;46635;56393;37053;45826;45612;46829;42629;37699;8225;12306;8398;12735;10871;12639;17995;23068;5030;9846;6117;12574;28745;12511;30764;14312;;;;
121;Recklinghausen I;5;165193;169267;165193;169267;121640;123958;121640;123958;1121;1716;903;1074;120519;122242;120737;122884;30845;37792;27988;35108;49437;47257;42552;38822;11087;13953;10927;14777;8481;8791;11989;12674;3605;8043;4239;8970;12833;6079;15180;7132;;;;
122;Recklinghausen II;5;186413;189376;186413;189376;137841;140795;137841;140795;1467;4648;1103;1285;136374;136147;136738;139510;38325;46982;33610;41079;51050;56019;48563;44224;13108;;12522;17387;11283;13903;13571;14759;3881;11502;4084;9201;14836;6363;15627;7189;;;;
123;Gelsenkirchen;5;168496;175210;168496;175210;112317;119414;112317;119414;1233;1993;1033;1348;111084;117421;111284;118066;21954;29768;22091;26452;44965;45017;41326;39524;15555;19836;14204;20113;9014;7864;9721;10834;3559;7614;3853;8703;11286;5444;11170;5489;;;;
124;Steinfurt I – Borken I;5;202388;202192;202388;202192;156894;154606;156894;154606;1176;1424;975;1028;155718;153182;155919;153578;62322;78579;52625;67425;44047;39584;44788;35466;8482;9265;8385;9719;14515;10082;17783;19339;3699;7554;4469;8433;18743;8118;20525;9142;;;;
125;Bottrop – Recklinghausen III;5;199344;202793;199344;202793;148734;151842;148734;151842;1378;1983;1111;1328;147356;149859;147623;150514;39834;50334;36814;44967;57560;55128;51637;47013;14075;17756;13899;18710;11352;9667;14647;15741;3887;9505;4484;10292;15144;6522;16434;7248;;;;
126;Borken II;5;201103;199978;201103;199978;162159;158146;162159;158146;1260;2375;883;1090;160899;155771;161276;157056;70334;81496;59102;73881;40851;39412;42303;33697;7909;;7724;9405;13404;14216;19081;20609;3928;6969;3914;6540;20028;10496;21738;9220;;;;
127;Coesfeld – Steinfurt II;5;194695;192946;194695;192946;161064;156813;161064;156813;1118;2434;882;987;159946;154379;160182;155826;65402;79677;55230;68636;40145;36250;42647;32787;7241;;7339;9496;12409;16195;17927;21116;4242;9577;4093;8394;27069;12680;25506;11667;;;;
128;Steinfurt III;5;195513;195571;195513;195571;155635;152541;155635;152541;1292;1364;1103;1158;154343;151177;154532;151383;52445;67678;42528;57215;48068;45797;50555;41815;8785;9530;9253;10342;11394;8533;16113;17205;4611;8520;4723;9692;23978;9857;23996;11026;;;;
129;Münster;5;233953;232294;233953;232294;196276;191090;196276;191090;981;1236;820;964;195295;189854;195456;190126;51096;70606;43790;62276;47047;54778;45844;39714;5234;8569;5603;9393;13038;13219;20786;25684;7078;13024;9746;19287;63160;24248;60036;27739;;;;
130;Warendorf;5;208754;209604;208754;209604;165808;163531;165808;163531;1443;1945;1186;1387;164365;161586;164622;162144;59631;75017;51722;65357;50685;45094;47648;38992;10211;11078;10533;12025;12768;11291;18193;21175;4074;7738;4525;8997;21245;8968;23309;10815;;;;
131;Gütersloh I;5;234177;234272;234177;234272;179726;176708;179726;176708;1604;2082;1378;1681;178122;174626;178348;175027;71185;81298;52421;67175;45878;48942;47371;40104;12812;13996;13299;15081;13507;11401;21211;22848;4284;7582;5173;10595;22851;9992;28308;13817;;;;
132;Bielefeld – Gütersloh II;5;243059;246216;243059;246216;185345;186152;185345;186152;1481;2075;1182;1536;183864;184077;184163;184616;40928;56485;37355;50995;55234;61086;50009;46883;12294;15028;12448;16514;17793;13495;20658;21364;9905;16489;11462;20522;40015;17728;40161;20567;;;;
133;Herford – Minden-Lübbecke II;5;226894;228976;226894;228976;170464;168664;170464;168664;1646;2072;1408;1617;168818;166592;169056;167047;45138;59571;39769;52994;61554;61205;53359;47940;15855;16633;16144;18098;14021;9411;19884;19186;5332;9353;6038;11589;18090;8444;22732;11485;;;;
134;Minden-Lübbecke I;5;201888;204203;201888;204203;152935;151181;152935;151181;1419;1651;1363;1508;151516;149530;151572;149673;39679;53057;35814;49160;58168;55868;49351;43966;13445;14796;13892;15829;12494;10575;17486;16865;3940;7862;4857;9432;15886;7372;19762;9625;;;;
135;Lippe I;5;224415;227196;224415;227196;172402;171391;172402;171391;1897;2207;1531;1819;170505;169184;170871;169572;44650;61064;39001;52949;52359;54022;53130;46815;16221;16829;16789;18300;16648;13764;20221;20984;5283;9891;6414;11880;26932;11252;23276;12613;;;;
136;Höxter – Gütersloh III – Lippe II;5;172435;174634;172435;174634;134346;133105;134346;133105;1416;1705;1258;1460;132930;131400;133088;131645;53294;63213;43265;52382;37210;32564;36253;30883;11244;12130;11533;12635;9462;8779;15488;16651;3345;6331;3762;7566;12685;6630;14717;7434;;;;
137;Paderborn;5;231534;229056;231534;229056;178377;171804;178377;171804;1540;1660;1395;1396;176837;170144;176982;170408;84669;91163;58419;69450;33513;33516;39089;31904;13152;15380;14360;16893;9845;9188;21877;22800;5532;8926;5858;11433;22926;10305;26981;12628;;;;
138;Hagen – Ennepe-Ruhr-Kreis I;5;201594;207384;201594;207384;144751;150044;144751;150044;1651;1745;1142;1250;143100;148299;143609;148794;37718;44948;34210;42972;47581;58206;47400;43548;14419;16716;13760;17622;13531;11727;16179;18722;4552;8045;4857;10743;17954;5752;17237;8673;;;;
139;Ennepe-Ruhr-Kreis II;5;175283;178506;175283;178506;136706;137632;136706;137632;1252;3256;1006;1208;135454;134376;135700;136424;33357;44273;29855;37284;47993;49333;45664;40767;9731;;9654;13190;11530;14175;14432;17270;3715;10804;5029;11092;21734;11538;21941;11142;;;;
140;Bochum I;5;202393;206460;202393;206460;154691;156941;154691;156941;2624;1924;1103;1237;152067;155017;153588;155704;32962;43773;29811;39580;58235;57655;50162;46243;;14775;10232;15190;13657;10923;14583;17449;9361;15462;8225;15953;28288;11937;30795;13862;;;;
141;Herne – Bochum II;5;173939;179247;173939;179247;123045;127974;123045;127974;1535;2230;1204;1484;121510;125744;121841;126490;24027;30361;23164;29629;52792;52672;46578;43312;11863;16799;11882;17001;8455;8448;10623;11560;4667;10064;5029;10860;14262;6992;15383;7414;;;;
142;Dortmund I;5;206727;211316;206727;211316;155814;156097;155814;156097;1098;1571;940;1174;154716;154526;154874;154923;30051;44228;27797;37967;51037;59990;50117;46424;10577;14644;10746;15197;10416;9063;14550;17193;5908;11874;7566;15506;26308;11281;31867;14702;;;;
143;Dortmund II;5;199317;203300;199317;203300;143855;143834;143855;143834;1298;1945;1065;1418;142557;141889;142790;142416;28897;39933;27650;34822;55695;55038;51080;46513;11816;15074;11290;15510;10270;9031;13629;15403;5823;12242;6361;12924;21028;9047;21714;10190;;;;
144;Unna I;5;194493;197873;194493;197873;148083;150831;148083;150831;1322;1446;1147;1251;146761;149385;146936;149580;36810;47452;31995;40697;59869;58019;53490;50205;11736;13558;11428;14689;9137;9635;15286;17196;4731;8048;5154;10313;20340;9600;20022;10254;;;;
145;Hamm – Unna II;5;231226;235213;231226;235213;168760;171524;168760;171524;1708;1956;1332;1789;167052;169568;167428;169735;44266;59700;40444;51475;67774;61717;59227;53467;15562;17713;15497;19068;12058;9970;16764;17678;6285;9949;5694;11837;16958;7409;19149;8938;;;;
